,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2006-07,26,GSW,NBA,PF,11,330,.450,13.5,.550,.330,.100,.050,.070,.450,.473,.576,.400,.200,.286,.422,.462,.050,5,.947,.489,.455,0,0
2009-10,29,ORL,NBA,SF,14,326,.400,12.8,.573,.413,.067,.013,.080,.427,.419,.484,.200,.000,.333,.375,.889,.080,5,.917,.500,.375,0,0
2010-11,30,LAL,NBA,SF,10,131,.395,11.0,.684,.474,.105,.000,.105,.316,.500,.667,.250,,.000,.167,.615,.026,1,1.000,.417,.200,0,0
2011-12,31,LAL,NBA,SF,11,185,.271,16.0,.475,.203,.186,.017,.068,.525,.393,.417,.455,1.000,.000,.161,.636,.034,1,1.000,.645,.200,1,0
2012-13,32,LAC,NBA,SF,6,162,.545,13.1,.614,.386,.091,.045,.091,.386,.630,.765,.500,.500,.250,.412,.588,.068,3,1.000,.294,.400,0,0
2013-14,33,LAC,NBA,SF,13,404,.421,16.7,.439,.224,.112,.009,.093,.561,.553,.625,.417,.000,.600,.317,.808,.047,5,.947,.433,.231,0,0
2014-15,34,LAC,NBA,SF,14,409,.380,16.3,.400,.310,.050,.000,.040,.600,.550,.645,.000,,.500,.267,.955,.060,4,1.000,.433,.308,0,0
2015-16,35,MEM,NBA,SF,4,139,.348,14.5,.609,.370,.109,.065,.065,.391,.464,.588,.200,.667,.000,.167,.615,.000,0,1.000,.167,.000,1,0
2016-17,36,GSW,NBA,SF,12,61,.267,17.3,.467,.267,.067,.000,.133,.533,.429,.500,1.000,,.000,.125,1.000,.000,0,1.000,.500,.000,0,0
Career,,,NBA,,95,2147,.399,14.7,.515,.320,.098,.022,.075,.485,.495,.594,.351,.385,.295,.297,.711,.048,24,.964,.449,.291,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAC,NBA,,33,975,.426,15.9,.454,.287,.084,.012,.072,.546,.570,.667,.333,.333,.500,.307,.800,.056,12,.976,.416,.281,0,0
2 seasons,,GSW,NBA,,23,391,.426,14.0,.539,.322,.096,.043,.078,.461,.468,.568,.455,.200,.222,.377,.517,.043,5,.950,.491,.385,0,0
2 seasons,,LAL,NBA,,21,316,.320,14.0,.557,.309,.155,.010,.082,.443,.444,.567,.400,1.000,.000,.163,.625,.031,2,1.000,.581,.200,1,0
1 season,,ORL,NBA,,14,326,.400,12.8,.573,.413,.067,.013,.080,.427,.419,.484,.200,.000,.333,.375,.889,.080,5,.917,.500,.375,0,0
1 season,,MEM,NBA,,4,139,.348,14.5,.609,.370,.109,.065,.065,.391,.464,.588,.200,.667,.000,.167,.615,.000,0,1.000,.167,.000,1,0
