Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bobby Washington,,1.5,0.7,0,NA
Tracy Jackson,88.6,1.7,0.7,0,NA
Jerry Rullo,87.9,1.5,0.6,0,-0.1
Vonteego Cummings,80.6,1.3,0.6,0.2,NA
Sean Kilpatrick,80.6,1.4,1,0.1,0.1
Ollie Mack,80.2,1.6,1,-0.1,NA
Terence Stansbury,78.5,1.5,0.6,0.3,NA
Byron Irvin,76.5,1.2,0.9,0,NA
Mike Flynn,73.3,1.7,0.8,0.3,NA
Rod Foster,72.6,1.6,0.9,-0.3,NA
Jerry Eaves,71.8,2,0.7,0,-0.1
