,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1969-70,22,KEN,ABA,,0,,0,,,,0,0,,,,,,,0
1970-71,23,CLE,NBA,,9,16,,,,,9,12,,,7,16,,5,26
1971-72,24,CLE,NBA,,8,17,,,,,8,9,,,9,20,,6,20
Career,,,TOT,,9,,,,,,9,12,,,,,,,26
,,,NBA,,9,17,,,,,9,12,,,9,20,,6,26
,,,ABA,,0,,0,,,,0,0,,,,,,,0
,,,,,,,,,,,,,,,,,,,
2 Seasons,,CLE,NBA,,9,17,,,,,9,12,,,9,20,,6,26
1 Season,,KEN,ABA,,0,,0,,,,0,0,,,,,,,0
