Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Dave Stallworth,,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0
Tyler Hansbrough,90.7,4.4,3.9,3.8,3.4,3,1,0.7,NA
Terry Catledge,89.2,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1
Vladimir Radmanović,89.1,4.2,3.8,3.7,3.5,2.7,2.1,1.9,0.8
Alvin Scott,88.2,4.4,4.3,4,3.8,2.9,1.7,1.2,0.8
Al-Farouq Aminu,88.1,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7
Jan van Breda Kolff,88.0,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6
Ron Anderson,87.5,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.3
Danny Fortson,86.5,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2
Willie Norwood,86.5,3.8,3.5,3.3,3,2.6,1.1,0.5,NA
John Tresvant,86.4,4.1,3.8,3.5,3.3,2.8,2.7,2.6,0.1
