Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Dave Stallworth,,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0,NA,NA
Tyler Hansbrough,90.7,4.4,3.9,3.8,3.4,3,1,0.7,NA,NA,NA
Terry Catledge,89.2,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA,NA
Alvin Scott,88.2,4.4,4.3,4,3.8,2.9,1.7,1.2,0.8,NA,NA
Jan van Breda Kolff,87.6,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6,0.1,NA
Len Chappell,87.3,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1
Willie Norwood,86.5,3.8,3.5,3.3,3,2.6,1.1,0.5,NA,NA,NA
Terrence Ross,85.8,4.3,4.2,3.6,3.5,2.4,0.9,0.3,NA,NA,NA
Danny Fortson,85.7,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0
Hakim Warrick,85.7,4.7,4,3.7,3.4,3.3,0.8,0.5,0,NA,NA
Ron Anderson,84.8,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3
