Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1965-66,24,NYK,NBA,SF,80,1893,16.3,0.509,0.459,NA,NA,NA,13.5,NA,NA,NA,3.2,0.5,3.7,0.095,NA,NA,NA,NA,NA
1966-67,25,NYK,NBA,SF,76,1889,15.8,0.517,0.392,NA,NA,NA,10.4,NA,NA,NA,3.1,0.7,3.9,0.098,NA,NA,NA,NA,NA
1969-70,28,NYK,NBA,SF,82,1375,14.2,0.487,0.404,NA,NA,NA,12.8,NA,NA,NA,0.6,2.8,3.4,0.119,NA,NA,NA,NA,NA
1970-71,29,NYK,NBA,SF,81,1565,14.8,0.483,0.336,NA,NA,10.3,9.3,NA,NA,NA,1,2.8,3.8,0.116,NA,NA,NA,NA,NA
1971-72,30,TOT,NBA,SF,78,2040,12.9,0.479,0.242,NA,NA,10,10.8,NA,NA,NA,0.7,2.1,2.8,0.066,NA,NA,NA,NA,NA
1971-72,30,NYK,NBA,SF,14,225,12.1,0.459,0.398,NA,NA,7.6,15,NA,NA,NA,0,0.3,0.2,0.053,NA,NA,NA,NA,NA
1971-72,30,BAL,NBA,SF,64,1815,13,0.481,0.222,NA,NA,10.3,10.2,NA,NA,NA,0.7,1.8,2.5,0.067,NA,NA,NA,NA,NA
1972-73,31,BAL,NBA,SF,73,1217,11.7,0.457,0.232,NA,NA,9.1,11.8,NA,NA,NA,0,1.7,1.7,0.065,NA,NA,NA,NA,NA
1973-74,32,CAP,NBA,SF,45,458,15,0.466,0.294,10.7,15.4,13,7.6,2.8,0.4,NA,0.3,0.8,1.1,0.117,NA,-1,1.1,0.1,0.2
1974-75,33,NYK,NBA,SF,7,57,7.6,0.278,0,10.8,26,18.3,4.6,2.4,2.8,NA,-0.2,0.1,0,-0.04,NA,-4.2,0.3,-3.9,0
Career,NA,,NBA,,522,10494,14.4,0.491,0.348,10.7,16.5,10.2,11.2,2.7,0.7,NA,8.8,11.5,20.3,0.093,NA,-1.4,1,-0.4,0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,NYK,NBA,,340,7004,15.2,0.499,0.397,10.8,26,10.2,11.6,2.4,2.8,NA,7.8,7.2,15,0.103,NA,-4.2,0.3,-3.9,0
3 seasons,NA,"BAL,CAP",NBA,,182,3490,12.8,0.471,0.236,10.7,15.4,10.2,10.4,2.8,0.4,NA,1,4.3,5.3,0.073,NA,-1,1.1,0.1,0.2
