,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,24,NYK,NBA,,12,,10,14,,,,,,,,34
1966-67,25,NYK,NBA,,16,,10,14,,,,,,,,35
1969-70,28,NYK,NBA,,9,,9,13,,,,,,,,25
1970-71,29,NYK,NBA,,9,,10,11,,,,,,,,22
1971-72,30,TOT,NBA,,11,,8,9,,,,,,,,27
1971-72,30,NYK,NBA,,4,,8,9,,,,,,,,16
1971-72,30,BAL,NBA,,11,,5,8,,,,,,,,27
1972-73,31,BAL,NBA,,9,,6,11,,,,,,,,18
1973-74,32,CAP,NBA,,8,,6,7,,,,,,,,19
1974-75,33,NYK,NBA,,3,,0,0,,,,,,,,6
Career,,,,,16,,10,14,,,,,,,,35
6 Seasons,,NYK,NBA,,16,,10,14,,,,,,,,35
3 Seasons,,"BAL,CAP",NBA,,11,,6,11,,,,,,,,27
