Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jiří Welsch,,3.6,1.7,0.8,-0.4,NA,NA
Stan Stutz,84.1,3.9,1.7,1.1,NA,NA,NA
Ronnie Lester,80.8,3.9,1.7,0.7,0.2,0,-0.2
Billy Ray Bates,80.6,3.6,2.4,0.9,0,NA,NA
Angelo Musi,80.2,3.5,1.3,1.1,NA,NA,NA
Al Butler,79.0,4.1,2.1,1.1,-0.3,NA,NA
Ralph Johnson,78.0,2.9,1.6,0.8,0,NA,NA
Pat Connaughton,77.7,3.9,2.5,0.6,-0.2,NA,NA
Ron Sobie,77.5,3.6,2.6,0.9,0.1,NA,NA
Jim Thomas,77.2,3.5,1.6,0,-0.1,NA,NA
Rodney McGruder,76.7,2.9,1.9,0.8,NA,NA,NA
