Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Jiří Welsch,,3.6,1.7,0.8,-0.4
Raja Bell,88.7,3.7,1.7,1.1,-0.1
Ronnie Lester,87.0,3.9,1.7,0.7,0
Martell Webster,84.2,3.5,1.3,0.9,0
Dennis Hopson,84.1,3.1,1.7,0.5,-0.3
Stan Stutz,84.1,3.9,1.7,1.1,NA
Ennis Whatley,83.4,3.3,1.9,0.8,0
Devin Brown,82.6,3.7,1.7,1.4,-0.1
Billy Ray Bates,80.6,3.6,2.4,0.9,0
Angelo Musi,80.2,3.5,1.3,1.1,NA
Charles Williams,79.3,3.9,1.3,0.6,-0.7
