,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2002-03,23,GSW,NBA,SF,37,234,4%,59%,36%,1%,,+0.4,+1.6,4,9,20,3,11,0,59,0,8
2003-04,24,BOS,NBA,SG,81,2179,6%,93%,1%,,,-2.3,-2.1,53,57,84,11,77,0,416,12,46
2004-05,25,TOT,NBA,SG-SF,71,1317,,53%,39%,9%,,-2.8,-4.5,30,21,49,15,71,0,218,13,16
2004-05,25,BOS,NBA,SG,55,1125,,53%,37%,10%,,-1.8,-3.8,25,16,47,10,61,0,177,13,12
2004-05,25,CLE,NBA,SF,16,192,,50%,48%,2%,,-9.6,-10.9,5,5,2,5,10,0,41,0,4
2005-06,26,MIL,NBA,SF,58,866,,17%,79%,4%,,-10.5,-11.9,14,16,24,8,32,12,135,3,14
Career,,,NBA,,247,4596,3%,65%,28%,3%,,-3.9,-4.4,101,103,177,37,191,12,828,28,84
,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,BOS,NBA,,136,3304,4%,79%,13%,3%,,-2.1,-2.7,78,73,131,21,138,0,593,25,58
1 season,,MIL,NBA,,58,866,,17%,79%,4%,,-10.5,-11.9,14,16,24,8,32,12,135,3,14
1 season,,GSW,NBA,,37,234,4%,59%,36%,1%,,+0.4,+1.6,4,9,20,3,11,0,59,0,8
1 season,,CLE,NBA,,16,192,,50%,48%,2%,,-9.6,-10.9,5,5,2,5,10,0,41,0,4
