Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Eduardo Nájera,,4.8,4.1,4,4,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1
Alvin Scott,91.2,4.4,4.3,4,3.8,2.9,1.7,1.2,0.8,NA,NA,NA,NA
Luc Mbah a Moute,87.5,4.8,4.7,4,3.1,2.8,2.4,1.6,1.1,1,0.5,0,NA
Jan van Breda Kolff,86.2,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6,0.1,NA,NA,NA
James Jones,85.9,4.7,4,3.7,2.5,2.2,1.7,1.5,1,0.9,0.7,0.2,0
Danny Fortson,85.4,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0,NA,NA
Ron Anderson,85.3,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.5,0.5,0.3,NA,NA
Austin Croshere,85.0,5.4,4.1,4.1,3.4,3.2,2.6,2,1.3,1.1,0.3,0.1,0
James Johnson,84.8,5.1,5,4.1,3,2.6,1.5,1.3,0.8,0.6,-0.5,NA,NA
Len Chappell,84.6,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1,NA,NA
Charlie Villanueva,84.5,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,NA
