Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1959-60,22,STL,NBA,C,11,56,12.2,0.543,0.368,NA,NA,NA,0,NA,0.1,0,0.2,0.132
1960-61,23,DET,NBA,C,5,167,20.9,0.528,0.662,NA,NA,NA,9,NA,0.5,0.1,0.6,0.161
1961-62,24,DET,NBA,C,9,166,17.3,0.5,0.531,NA,NA,NA,11.1,NA,0.3,0,0.4,0.109
1962-63,25,DET,NBA,C,4,143,11.6,0.432,0.533,NA,NA,NA,11.6,NA,-0.1,0.2,0.1,0.039
1964-65,27,BAL,NBA,PF,10,67,9.8,0.401,0.563,NA,NA,NA,15,NA,0,0.1,0,0.014
1965-66,28,BAL,NBA,C,3,82,15.4,0.603,0.65,NA,NA,NA,4.6,NA,0.2,0,0.3,0.149
Career,NA,,NBA,,42,681,15.6,0.502,0.569,NA,NA,NA,9.4,NA,1.1,0.4,1.5,0.104
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,DET,NBA,,18,476,16.9,0.496,0.58,NA,NA,NA,10.5,NA,0.8,0.3,1.1,0.106
2 seasons,NA,BAL,NBA,,13,149,12.9,0.514,0.611,NA,NA,NA,9.3,NA,0.2,0.1,0.3,0.088
1 season,NA,STL,NBA,,11,56,12.2,0.543,0.368,NA,NA,NA,0,NA,0.1,0,0.2,0.132
