,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1959-60,22,STL,NBA,,7,9,2,3,6,0,3,16
1960-61,23,DET,NBA,,9,,14,15,,,4,30
1961-62,24,DET,NBA,,9,,11,14,,,,19
1962-63,25,DET,NBA,,9,15,5,8,11,5,4,23
1964-65,27,BAL,NBA,,3,4,2,4,3,3,2,6
1965-66,28,BAL,NBA,,7,13,4,6,17,2,5,18
Career,,,,,9,,14,15,,,,30
3 Seasons,,DET,NBA,,9,,14,15,,,,30
2 Seasons,,BAL,NBA,,7,13,4,6,17,3,5,18
1 Season,,STL,NBA,,7,9,2,3,6,0,3,16
