Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Bob Ferry,,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0,NA,NA,NA
Oliver Miller,87.2,5.3,3.8,3.4,3.1,1.8,1.6,1.4,0.9,0,NA,NA,NA,NA
Kurt Nimphius,85.8,4.8,3.3,3.1,2.9,1.5,1,0.7,0.1,NA,NA,NA,NA,NA
Randy Breuer,85.2,5.1,4.5,3,2.4,2,1.7,1,0.9,0.3,0.1,0,NA,NA
Dennis Awtrey,82.8,5.2,5,3.1,2.1,1.8,1.4,1,1,0.7,0.6,0.6,0,NA
John Henson,81.9,4.9,3.6,3.3,2.7,2.3,1.9,0.6,NA,NA,NA,NA,NA,NA
Spencer Hawes,81.7,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6,NA,NA,NA
Otto Moore,81.5,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,NA,NA,NA,NA
Dale Schlueter,81.4,6.3,4.4,3,2,1.6,1.2,1.1,1.1,0.1,0,NA,NA,NA
Adonal Foyle,80.2,4,3.4,2.8,1.9,1.3,1.2,1.1,1.1,1,0.7,0.3,-0.1,NA
Mikki Moore,79.5,5.7,4.6,2.8,2.6,2.2,2.1,1,0.6,0.6,0.1,0.1,0.1,0.1
