Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
James Jones,,4.7,4,3.7,2.5,2.2,1.7,1.5,1.2,1,0.9,0.8,0.7,0.2,0
Shandon Anderson,87.3,4.9,4.2,3.9,2.7,2.1,2,1.7,1.2,0.5,0.4,NA,NA,NA,NA
Pat Cummings,87.2,4.2,4,3.3,2.7,2.5,1.8,1.5,1.1,0.6,0.6,0.1,0.1,NA,NA
Corey Brewer,85.9,5.2,3.9,3.1,2.3,2.3,1.2,1.2,1.1,1,1,0.3,-0.2,NA,NA
Charlie Villanueva,84.4,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1,NA,NA,NA
Reggie Evans,84.2,4.3,3.8,3,2.7,2.3,2.1,1.9,1.7,1.5,1.3,1.3,1.2,0.2,NA
Scott Williams,83.5,3.9,3.9,3.4,3.1,2.6,2.3,1.7,1.7,1.1,1.1,0.9,0.4,0.3,-0.1
Luc Mbah a Moute,82.6,4.8,4.7,4,3.1,2.8,2.4,1.6,1.1,1,0.5,0,NA,NA,NA
Kwame Brown,82.4,4.9,3.6,3.5,2.5,1.9,1.9,0.8,0.6,0.6,0.4,0.1,-0.1,NA,NA
Fred Roberts,82.2,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.6,0.4,0.2,0,NA
Eduardo Nájera,82.1,4.8,4.1,4,4,2.7,1.6,1.1,1.1,0.8,0.2,0.2,0.1,NA,NA
