Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Vince Boryla,,7.4,3.9,3.6,2.1,-1,NA
Willie Cauley-Stein,84.8,6.7,3.9,3.8,2.9,NA,NA
Ernie Vandeweghe,84.1,7.1,4.8,3.9,2.1,0.3,-0.1
Jerami Grant,79.7,7.3,5.4,2.9,2.1,0.5,NA
Larry Nance,77.9,5.8,4.9,3.5,2.2,NA,NA
Gary Bradds,77.2,8,3.6,3.4,0.5,0.3,0
Randolph Mahaffey,76.2,5.7,4.7,3.7,2.6,NA,NA
Julius Randle,75.5,6.6,6.1,3.5,1.6,-0.1,NA
Kyle Anderson,73.6,6.2,3.5,2.7,2.7,0.3,NA
Monk Meineke,73.6,6.1,3.7,2.6,1.8,0.7,NA
Bones McKinney,73.5,7.1,4.9,3.3,0.2,0,-0.2
