Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Vince Boryla,,7.4,3.9,3.6,2.1,-1
Joe Caldwell,86.3,6.7,3.7,3.3,2,0.3
Bill Bridges,85.1,7.6,3.9,3.1,2.6,0.6
Willie Cauley-Stein,84.8,6.7,3.9,3.8,2.9,NA
Ernie Vandeweghe,84.5,7.1,4.8,3.9,2.1,0.3
Robert Covington,82.4,6.1,4,3.1,2,0.1
George Carter,81.2,6.4,4.2,2.9,2.2,0
Jerami Grant,79.7,7.3,5.4,2.9,2.1,0.5
Pervis Ellison,79.5,6.9,4,3.9,0.7,0.4
Ben Wallace,79.4,7,5.6,3.6,2.9,-0.2
Jason Maxiell,79.3,6.3,4.1,2.6,1.8,-0.2
