Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ron Grandison,,0.6,0.5,0,0
Greg Foster,88.6,0.6,0.5,0.2,0
Mike Harris,83.8,0.5,0.5,0,-0.1
Bill Curley,78.9,0.7,0.5,0.2,0
Roderick McDonald,77.4,0.5,0.5,0.2,NA
Anthony Cook,74.0,0.5,0.4,0.1,0.1
Hank McDowell,71.4,0.7,0.4,0.2,0.1
Jackie Moore,71.0,0.9,0.5,NA,NA
Scott Roth,70.8,0.7,0.3,0.1,NA
Jamal Sampson,69.9,0.5,0.4,0.2,0
Josh Davis,69.6,0.5,0.3,0,0
