Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Nick Jones,,1.3,0.7,0.2,0,-0.2
Salim Stoudamire,82.5,1.2,0.8,0.3,NA,NA
Vonteego Cummings,80.1,1.3,0.6,0.2,NA,NA
Phil Rollins,76.8,1.1,0.7,0.1,NA,NA
Bernie Williams,76.8,1.1,0.8,0.1,-0.1,-0.3
Brooks Thompson,74.7,1.1,0.6,0.2,0.1,NA
Mike D'Antoni,74.5,1,0.8,0.3,0,NA
Byron Irvin,71.5,1.2,0.9,0,NA,NA
Bobby Washington,71.3,1.5,0.7,0,NA,NA
Sean Kilpatrick,69.1,1.4,1,0.1,0.1,NA
Jerry Rullo,66.8,1.5,0.6,0,-0.1,NA
