Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,22,SDR,NBA,PG,42,603,9.9,0.433,NA,0.297,NA,NA,NA,19.4,NA,NA,NA,NA,NA,-0.3,0.5,0.2,0.013
1968-69,23,TOT,ABA,,7,81,0.3,0.326,0.071,0.214,NA,NA,4.6,9.9,NA,NA,16.4,17,NA,-0.2,0,-0.2,-0.103
1968-69,23,DLC,ABA,,4,60,-1.6,0.309,0.1,0.3,NA,NA,3.8,11.2,NA,NA,20.9,18.1,NA,-0.2,0,-0.2,-0.123
1968-69,23,MMF,ABA,,3,21,5.9,0.375,0,0,NA,NA,6.7,6.3,NA,NA,0,13.8,NA,0,0,0,-0.048
1970-71,25,SFW,NBA,SG,81,1183,11.4,0.476,NA,0.289,NA,NA,4.1,13.9,NA,NA,NA,NA,NA,0.5,0.7,1.3,0.051
1971-72,26,GSW,NBA,SG,65,478,9.7,0.482,NA,0.311,NA,NA,3.6,13.2,NA,NA,NA,NA,NA,0.2,0.5,0.7,0.073
1972-73,27,DLC,ABA,PG,3,16,2.9,0.429,0,0.375,6.1,0,3.2,9.3,NA,NA,17.7,27.6,NA,0,0,0,-0.071
Career,NA,,TOT,,198,2361,10.2,0.462,0.002,0.294,6.1,0,4,15,NA,NA,16.7,18.7,NA,0.2,1.7,1.9,0.04
,NA,,NBA,,188,2264,10.6,0.467,NA,0.295,NA,NA,4,15.2,NA,NA,NA,NA,NA,0.5,1.7,2.1,0.046
,NA,,ABA,,10,97,0.7,0.35,0.056,0.25,6.1,0,4.3,9.8,NA,NA,16.7,18.7,NA,-0.2,0,-0.2,-0.098
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"SFW,GSW",NBA,,146,1661,10.9,0.478,NA,0.295,NA,NA,4,13.7,NA,NA,NA,NA,NA,0.8,1.2,2,0.057
1 season,NA,SDR,NBA,,42,603,9.9,0.433,NA,0.297,NA,NA,NA,19.4,NA,NA,NA,NA,NA,-0.3,0.5,0.2,0.013
2 seasons,NA,DLC,ABA,,7,76,-0.7,0.344,0.071,0.321,6.1,0,3.7,10.8,NA,NA,20,20.1,NA,-0.2,0,-0.2,-0.112
1 season,NA,MMF,ABA,,3,21,5.9,0.375,0,0,NA,NA,6.7,6.3,NA,NA,0,13.8,NA,0,0,0,-0.048
