Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,24,MIL,NBA,SG,1,0,17:00,4,13,0.308,1,6,0.167,5,6,0.833,1,1,2,3,1,3,2,14
2000-01,25,MIL,NBA,SG,1,0,19:00,7,15,0.467,1,7,0.143,0,0,NA,1,3,2,1,1,1,0,15
2001-02,26,MIL,NBA,SG,1,0,25:00,6,17,0.353,3,10,0.3,0,0,NA,1,3,5,3,0,1,3,15
2003-04,28,SEA,NBA,SG,1,0,23:44,6,13,0.462,1,4,0.25,3,4,0.75,2,3,4,1,0,3,2,16
2004-05,29,SEA,NBA,SG,1,0,22:22,6,16,0.375,5,11,0.455,0,0,NA,0,4,1,0,0,1,2,17
2005-06,30,SEA,NBA,SG,1,0,18:00,4,13,0.308,0,7,0,0,0,NA,0,2,1,0,0,1,2,8
2006-07,31,SEA,NBA,SG,1,0,21:22,4,10,0.4,4,7,0.571,0,0,NA,0,1,3,1,0,1,0,12
2007-08,32,BOS,NBA,SG,1,0,18:54,10,14,0.714,5,9,0.556,3,5,0.6,0,2,1,2,0,0,0,28
2008-09,33,BOS,NBA,SG,1,0,18:12,4,10,0.4,0,3,0,0,0,NA,1,3,1,0,0,1,0,8
2010-11,35,BOS,NBA,SG,1,0,17:09,4,9,0.444,2,7,0.286,2,2,1,1,4,2,0,0,1,2,12
Career,NA,,NBA,,10,0,201,55,130,0.423,22,71,0.31,13,17,0.765,7,26,22,11,2,13,13,145
