Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Ersan İlyasova,,6.7,6.4,5.8,4.4,4.1,4,4,3.8,3,1.6,1,NA,NA,NA,NA
Thurl Bailey,91.9,6.8,6.5,5.4,4.6,4,3.7,3.6,3.1,2.6,2.6,1.2,0.9,NA,NA,NA
Junior Bridgeman,90.7,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8,0.6,NA,NA,NA
Bruce Bowen,89.0,6.2,6.1,5.4,5.1,4.4,4.2,4.1,2.2,2.2,1.9,1.2,0,0,NA,NA
Larry Smith,89.0,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,1.2,1.2,0.3,NA,NA
Ed Pinckney,88.6,7.5,6.2,6.1,4.7,4,3.7,2.9,2.7,2.3,1.6,0.7,0.3,NA,NA,NA
Kenyon Martin,88.5,7.1,6.7,5.3,5,4.9,4,3.8,3.3,2.7,2.1,1.2,1.2,0.9,0.2,0
Jeff Green,88.4,6.6,5.2,4.8,4.7,4.2,3.9,3.6,3.3,3.1,0.7,0.2,NA,NA,NA,NA
Jeff Foster,88.3,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3,2.7,1.6,0.6,0.4,0.4,NA,NA
John Salley,88.2,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,NA,NA,NA,NA
Brandon Bass,87.6,6.3,5.3,5.1,4.7,4.7,4.3,4.1,4.1,2.2,2,0.1,0,NA,NA,NA
