Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ersan İlyasova,,6.7,6.4,5.8,4.4,4.1,4,4,3.8,3,1.6,1
Thurl Bailey,93.0,6.8,6.5,5.4,4.6,4,3.7,3.6,3.1,2.6,2.6,1.2
Junior Bridgeman,91.4,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8
Joe Smith,90.3,6.8,6.3,6.1,5.5,4.7,4.4,4.4,3.7,3,2.6,2.3
Rudy Gay,90.2,6.4,6.1,6,5.5,5,4.8,4,3.8,3.3,1.8,0.5
Juwan Howard,89.7,7,6,5.6,4.9,4.6,4.4,3.6,3.2,2.8,2.8,1.9
Larry Smith,89.7,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,0.3
Robert Horry,89.6,6.9,6.6,5.9,5.7,4.9,4.8,4.2,3.6,2.9,2.6,1.7
Kenyon Martin,89.6,7.1,6.7,5.3,5,4.9,4,3.8,3.3,2.7,2.1,0
Mark Olberding,88.6,6.6,5.1,5.1,4.3,4.2,4.1,4.1,3.9,3.9,3.1,2.3
Caron Butler,88.5,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.3,2.1,1.2
