Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Kenny Walker,,4.7,4,3.1,2.7,1.9,1.3,0.1
Shandon Anderson,91.8,4.9,4.2,3.9,2.7,2,1.2,0.4
Danny Fortson,91.2,4.5,4.4,3.5,2.3,1.9,1.1,0.2
Charlie Villanueva,90.5,4.9,3.9,3.5,3.1,1.7,1.7,0.4
Allan Bristow,90.3,4.4,4.3,3.5,2.8,1.9,1.9,0.5
Andrea Bargnani,88.8,4.2,3.9,2.5,2.2,1.9,1.4,0.1
Eduardo Nájera,88.7,4.8,4,4,2.7,1.6,1.1,1.1
Bill Calhoun,88.6,4.5,4.1,3.9,2.2,2.1,1.4,0.4
Ryan Gomes,88.1,4.8,4.2,3.1,2.5,2.5,2.4,-0.2
Paul Griffin,88.0,4.9,4.4,4.1,2.9,1.6,1.4,0.4
Derek Strong,88.0,4.4,4.1,2.4,2.1,1.9,1.5,0
