Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Kenny Walker,,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA
Andray Blatche,88.9,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1
Bill Calhoun,88.6,4.5,4.1,3.9,2.2,2.1,1.4,0.4,NA,NA
Ryan Gomes,88.0,4.8,4.2,3.1,2.5,2.5,2.4,0,-0.2,NA
Paul Griffin,88.0,4.9,4.4,4.1,2.9,1.6,1.4,0.4,NA,NA
Kenny Gattison,86.5,4.5,3.5,3.2,3,1.5,0.7,0.5,0.1,0
John Brown,86.0,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA
Donald Royal,85.2,5.1,3.8,3.6,2.3,1.6,1.3,1,0.4,NA
Craig Smith,85.2,3.9,3.5,3.1,3,1.5,1,NA,NA,NA
David Benoit,85.1,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA
Lionel Simmons,85.1,4.3,3.8,3.8,2.7,1.1,0.9,0.3,NA,NA
