Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Ramon Sessions,,5.6,4.4,4.3,3.8,3.7,2.9,1.1,1.1,0.9,0.7,0.3
Rory Sparrow,93.7,5.6,4.3,4.2,4.2,3.7,2.8,1.6,1,0.7,0.5,-0.1
Bob Weiss,91.3,5.6,4.7,4.4,4.3,3.6,2.9,1.7,1.4,1.1,0.1,0
Don Ohl,90.7,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,1.2,0.8,NA
Tyreke Evans,89.7,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3,NA
Pooh Richardson,89.2,5.9,4.4,4.1,4,3.8,2.1,1.4,1,0.2,-0.1,NA
Ricky Davis,86.2,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2,-0.4
Matt Guokas,86.1,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3,NA
Allen Leavell,86.1,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6,-0.1,NA
Hubert Davis,85.7,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1
Lucious Harris,85.7,5.1,4.7,4.1,3.1,2.8,2.5,2.1,1.1,0.8,0.6,0.4
