Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Sergio Rodríguez,,1.7,1.2,0.9,0.7,-0.2
Raul Neto,93.5,1.8,1.1,0.9,0.7,NA
Al Bianchi,86.1,1.8,1.5,0.8,0.8,-0.1
Donnie Butcher,85.1,1.9,1.2,1.1,0.5,-0.3
Kevin McKenna,82.1,1.7,0.9,0.7,0.6,-0.3
Mike Davis,80.9,2.2,1.2,0.9,0.6,NA
Lloyd Walton,79.5,1.9,1.1,1.1,1.1,0.1
Justin Anderson,79.3,1.9,1.2,1.1,0.4,NA
Michael Carter-Williams,78.1,1.3,1.2,0.9,0.8,0.2
Mo Layton,77.5,1.9,1.1,1,0.3,0.1
Todd Lichti,76.3,1.8,1.3,1.2,1,0.2
