Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Sergio Rodríguez,,1.7,1.2,0.9,0.7,-0.2,NA
Raul Neto,93.5,1.8,1.1,0.9,0.7,NA,NA
Donnie Butcher,85.1,1.9,1.2,1.1,0.5,-0.3,NA
Mike Davis,80.9,2.2,1.2,0.9,0.6,NA,NA
Lloyd Walton,79.5,1.9,1.1,1.1,1.1,0.1,NA
Justin Anderson,79.3,1.9,1.2,1.1,0.4,NA,NA
Mo Layton,77.5,1.9,1.1,1,0.3,0.1,NA
Todd Lichti,76.3,1.8,1.3,1.2,1,0.2,NA
John Warren,75.8,1.7,0.9,0.8,0.5,0.3,NA
Corky Devlin,74.7,1.8,1.2,0.8,NA,NA,NA
Chris Carr,72.2,1.7,1.1,0.9,0.3,0.2,-0.3
