Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Kevin Love,,14.3,11.4,10,8.7,8.5,6.4,6.4,5.3,4.9,1.3,1.1
Billy Cunningham,90.6,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5,1.2
Vern Mikkelsen,90.0,13.2,12,10.9,9.2,8.9,6.6,6.5,6.1,5.4,4.5,NA
Peja Stojaković,89.8,13.5,10.1,10.1,9.9,8.1,8,7.3,4.8,3.8,1.7,0.9
George McGinnis,89.1,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7,0.4
Cliff Hagan,88.8,11.8,11.7,10.8,10,8.5,7.1,6.5,6,4.7,3.7,1.3
Rudy Tomjanovich,88.1,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1
Detlef Schrempf,87.8,12.9,10.4,9.8,9,8.4,8.2,8.1,4.4,4,3.6,0.8
Cedric Maxwell,87.5,12.2,11.7,11,9.1,6.6,6.4,5.4,5.4,4.6,4.2,2
Blake Griffin,87.3,12.2,10.6,9.8,9.2,9,8,7.7,4.9,3.8,NA,NA
Chris Webber,87.0,11,10.7,9.3,8.6,8.3,7.8,6.9,4,3.6,1.9,1.1
