Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1972-73,23,GSW,NBA,SG,6,70,11.8,0.402,0.231,NA,NA,6.8,22.5,NA,NA,NA,NA,NA,-0.1,0.1,0,-0.009,NA,NA,NA,NA,NA
1974-75,25,GSW,NBA,SG,17,508,11.8,0.439,0.104,3.7,8.4,6,10.4,2.3,0.7,NA,NA,NA,0,0.7,0.7,0.07,NA,-0.2,-0.7,-0.8,0.1
1975-76,26,GSW,NBA,PG,13,284,12.5,0.443,0.15,5,7.8,6.4,9.5,3.6,0,NA,NA,NA,0.1,0.3,0.3,0.059,NA,-2.3,0.1,-2.1,0
1976-77,27,GSW,NBA,PG,10,161,9.5,0.419,0.108,2.9,6.3,4.5,5.9,2.3,0.3,NA,NA,NA,0,0.1,0.1,0.021,NA,-2.8,-0.1,-3,0
1977-78,28,WSB,NBA,SG,21,425,14.7,0.438,0.162,4.6,8,6.3,16.8,3.3,0,9.6,24.8,NA,0.1,0.6,0.7,0.085,NA,0.3,0.9,1.2,0.3
1978-79,29,WSB,NBA,SG,18,275,5.4,0.349,0.109,4.5,7.9,6.2,10.9,0.5,0.6,8.1,19.4,NA,-0.3,0.1,-0.2,-0.035,NA,-4.9,-1.1,-6.1,-0.3
Career,NA,,NBA,,85,1723,11.4,0.423,0.133,4.2,7.9,6.1,12,2.5,0.3,9.1,22.7,NA,-0.3,2,1.7,0.047,NA,-1.5,-0.1,-1.6,0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,GSW,NBA,,46,1023,11.6,0.435,0.124,4,7.9,5.9,10.3,2.7,0.4,NA,NA,NA,-0.1,1.2,1.1,0.054,NA,-1.2,-0.3,-1.6,0.1
2 seasons,NA,WSB,NBA,,39,700,11,0.408,0.144,4.6,7.9,6.2,14.5,2.2,0.2,9.1,22.7,NA,-0.2,0.8,0.5,0.038,NA,-1.7,0.1,-1.6,0.1
