Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23,GSW,NBA,SG,6,NA,70,10,26,0.385,3,6,0.5,NA,NA,10,11,NA,NA,NA,4,23
1974-75,25,GSW,NBA,SG,17,NA,508,97,231,0.42,18,24,0.75,19,41,60,35,25,6,NA,54,212
1975-76,26,GSW,NBA,PG,13,NA,284,52,127,0.409,16,19,0.842,14,21,35,20,22,0,NA,39,120
1976-77,27,GSW,NBA,PG,10,NA,161,29,74,0.392,7,8,0.875,5,10,15,7,8,1,NA,16,65
1977-78,28,WSB,NBA,SG,21,NA,425,93,229,0.406,29,37,0.784,20,33,53,48,30,0,26,51,215
1978-79,29,WSB,NBA,SG,18,NA,275,40,119,0.336,7,13,0.538,13,21,34,21,3,3,11,37,87
Career,NA,,NBA,,85,NA,1723,321,806,0.398,80,107,0.748,71,126,207,142,88,10,37,201,722
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,GSW,NBA,,46,NA,1023,188,458,0.41,44,57,0.772,38,72,120,73,55,7,NA,113,420
2 seasons,NA,WSB,NBA,,39,NA,700,133,348,0.382,36,50,0.72,33,54,87,69,33,3,37,88,302
