Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23,GSW,NBA,SG,70,NA,887,6.9,16.2,0.428,1.3,1.9,0.717,NA,NA,5.4,4.8,NA,NA,NA,4.3,15.2
1973-74,24,GSW,NBA,PG,59,NA,1051,6.6,16,0.415,1.3,1.9,0.691,1.7,4.3,6,3.5,2.1,0.2,NA,3.8,14.6
1974-75,25,GSW,NBA,SG,79,NA,2171,6.5,15.9,0.412,1.2,1.7,0.735,2.2,2.9,5.2,3.9,2.3,0.1,NA,3.4,14.3
1975-76,26,GSW,NBA,PG,81,NA,1549,7.9,17,0.467,1.4,1.8,0.759,1.8,2.9,4.7,2.8,2.3,0.2,NA,4.1,17.3
1976-77,27,GSW,NBA,PG,79,NA,1196,7.7,17.5,0.437,1.5,2.1,0.71,1.5,2.7,4.2,2.7,2.3,0.2,NA,4,16.8
1977-78,28,TOT,NBA,SG,71,NA,1299,6.6,16.1,0.408,1.4,1.7,0.803,1.2,3.1,4.3,3.6,1.7,0.1,2,3.6,14.5
1977-78,28,GSW,NBA,SG,32,NA,492,7,17.2,0.409,0.5,0.7,0.7,1.7,2.9,4.5,3.5,2.3,0.3,1.7,3.9,14.6
1977-78,28,WSB,NBA,SG,39,NA,807,6.3,15.4,0.408,1.9,2.3,0.824,0.9,3.3,4.1,3.7,1.4,0,2.2,3.4,14.5
1978-79,29,WSB,NBA,SG,82,NA,1819,6.8,15.6,0.435,1.3,1.6,0.848,1.4,2.6,4,3.5,1.9,0.1,1.7,3.2,14.9
Career,NA,,NBA,,521,NA,9972,7,16.3,0.429,1.3,1.8,0.756,1.7,3,4.8,3.5,2.1,0.2,1.8,3.7,15.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,GSW,NBA,,400,NA,7346,7.1,16.5,0.43,1.3,1.8,0.726,1.9,3.1,5,3.5,2.3,0.2,1.7,3.8,15.5
2 seasons,NA,WSB,NBA,,121,NA,2626,6.6,15.5,0.427,1.5,1.8,0.838,1.2,2.8,4,3.6,1.7,0.1,1.9,3.2,14.7
