Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1972-73,23,GSW,NBA,SG,70,887,12.5,0.446,0.115,NA,NA,6.8,17.8,NA,NA,NA,NA,NA,-0.3,1.2,0.9,0.05,NA,NA,NA,NA,NA
1973-74,24,GSW,NBA,PG,59,1051,12.3,0.433,0.118,4.5,11.1,7.9,12.8,2.6,0.3,NA,NA,NA,-0.1,1.1,1,0.044,NA,-2.4,0.4,-2,0
1974-75,25,GSW,NBA,SG,79,2171,12.8,0.431,0.107,6,8,7,14.2,2.8,0.2,NA,NA,NA,0.5,2,2.4,0.054,NA,-1.4,-0.1,-1.5,0.3
1975-76,26,GSW,NBA,PG,81,1549,14.2,0.485,0.108,4.8,7.6,6.2,11.1,2.9,0.2,NA,NA,NA,1.6,2.1,3.7,0.116,NA,-0.8,0.9,0.1,0.8
1976-77,27,GSW,NBA,PG,79,1196,12.6,0.456,0.118,4.2,7.7,6,10.4,2.9,0.3,NA,NA,NA,0.3,1.2,1.4,0.056,NA,-2.1,0,-2.1,0
1977-78,28,TOT,NBA,SG,71,1299,10.9,0.43,0.105,3.3,8.7,6,13.9,2.1,0.2,10.7,20,NA,-0.1,1.3,1.1,0.042,NA,-2.6,0.2,-2.4,-0.1
1977-78,28,GSW,NBA,SG,32,492,11.8,0.416,0.043,4.7,8.2,6.4,13.8,2.9,0.4,8.8,20.9,NA,-0.1,0.6,0.4,0.043,NA,-2.4,0.7,-1.8,0
1977-78,28,WSB,NBA,SG,39,807,10.3,0.44,0.147,2.4,9,5.7,14,1.7,0.1,11.9,19.5,NA,0,0.7,0.7,0.041,NA,-2.7,0,-2.8,-0.2
1978-79,29,WSB,NBA,SG,82,1819,12,0.458,0.101,4,7.3,5.6,12.5,2.4,0.2,9.6,19.1,NA,0.9,1.9,2.8,0.074,NA,-1.9,0.8,-1.2,0.4
Career,NA,,NBA,,521,9972,12.5,0.449,0.109,4.6,8.2,6.4,13.1,2.6,0.2,10.1,19.5,NA,2.7,10.7,13.4,0.064,NA,-1.8,0.3,-1.4,1.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,GSW,NBA,,400,7346,12.9,0.448,0.107,5,8.4,6.7,13.1,2.8,0.3,8.8,20.9,NA,1.8,8.1,9.9,0.065,NA,-1.6,0.3,-1.3,1.1
2 seasons,NA,WSB,NBA,,121,2626,11.5,0.452,0.115,3.5,7.8,5.7,13,2.2,0.1,10.3,19.2,NA,0.9,2.6,3.5,0.064,NA,-2.2,0.5,-1.6,0.2
