Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Charles Johnson,,3.7,2.8,2.4,1.4,1.1,1,0.9
Dudley Bradley,91.6,3.9,3.1,2.4,1.7,1.4,1.1,1
Marquis Daniels,89.0,4.2,3.2,2.5,1.3,1.3,0.9,0.6
Anthony Peeler,88.3,3.7,2.7,2.5,2.4,1.1,0.8,0.6
Jordan Farmar,86.8,3.9,2.8,1.9,1.8,0.9,0.8,0.7
Clint Richardson,84.9,3.3,3.1,2.4,1.9,1.8,1.1,1
Lucious Harris,83.9,4.1,2.8,2.1,1.1,0.8,0.6,0.4
Fatty Taylor,83.7,3.7,3,2.6,2.6,1.3,1.2,0.4
John Battle,83.4,4,3.2,2.3,2,1.7,1.5,1
Quintin Dailey,82.3,3.7,2.6,2.1,2,1.3,1,-0.3
Jim King,82.2,3.7,3.5,2.3,1.5,1.1,0.4,-0.1
