Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,24,GSW,NBA,PG,59,NA,1051,8.1,19.6,0.415,1.6,2.3,0.691,2.1,5.3,7.3,4.3,2.6,0.3,NA,4.7,17.9,NA,NA,98
1974-75,25,GSW,NBA,SG,79,NA,2171,8.1,19.7,0.412,1.5,2.1,0.735,2.8,3.6,6.4,4.8,2.8,0.2,NA,4.2,17.7,NA,NA,99
1975-76,26,GSW,NBA,PG,81,NA,1549,9.8,21,0.467,1.7,2.3,0.759,2.2,3.6,5.8,3.5,2.9,0.2,NA,5.1,21.3,NA,NA,96
1976-77,27,GSW,NBA,PG,79,NA,1196,9.5,21.7,0.437,1.8,2.6,0.71,1.9,3.4,5.3,3.4,2.9,0.3,NA,5,20.8,NA,NA,100
1977-78,28,TOT,NBA,SG,71,NA,1299,8.2,20,0.408,1.7,2.1,0.803,1.5,3.9,5.3,4.5,2.1,0.2,2.5,4.4,18,NA,92,101
1977-78,28,GSW,NBA,SG,32,NA,492,8.8,21.6,0.409,0.6,0.9,0.7,2.1,3.6,5.7,4.4,2.9,0.4,2.1,4.9,18.3,NA,90,100
1977-78,28,WSB,NBA,SG,39,NA,807,7.8,19,0.408,2.3,2.8,0.824,1.1,4,5.1,4.5,1.7,0.1,2.8,4.2,17.8,NA,93,103
1978-79,29,WSB,NBA,SG,82,NA,1819,8.5,19.5,0.435,1.7,2,0.848,1.7,3.3,5,4.4,2.4,0.1,2.2,4,18.6,NA,100,104
Career,NA,,NBA,,451,NA,9085,8.7,20.2,0.43,1.7,2.2,0.76,2.1,3.7,5.8,4.2,2.6,0.2,0.8,4.5,19,NA,96,100
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,GSW,NBA,,330,NA,6459,8.8,20.5,0.431,1.6,2.2,0.727,2.3,3.8,6.1,4.1,2.8,0.2,0.2,4.7,19.2,NA,90,98
2 seasons,NA,WSB,NBA,,121,NA,2626,8.3,19.3,0.427,1.9,2.2,0.838,1.5,3.5,5,4.4,2.2,0.1,2.3,4,18.4,NA,98,103
