Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Shawn Bradley,,7.4,6.3,5.1,4.2,3.5,3,3,2.9,2.3,2.3,1.9,-1.1
Leroy Ellis,88.0,6.4,5.8,4.7,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6
Brendan Haywood,85.4,6.8,6.7,5.2,5,3.9,3.8,3.4,3.1,2.9,2.7,0.2,0.1
Mark West,85.4,8.2,6.5,5.5,3.9,3.4,3.1,2.4,1.9,1.8,1.1,0.9,-0.1
Wayne Embry,84.7,6.7,6.3,5.6,4.5,3.4,3.4,2,1.9,1.5,1.2,1.1,NA
Rich Kelley,84.7,8.6,6.4,4.8,4.3,4.3,4.3,2.5,2.4,2.4,1.7,0.7,NA
Rasho Nesterović,84.1,7.2,5.2,4.2,4.1,4.1,3.9,3.7,3,2.2,1.5,0.8,0
Channing Frye,83.6,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3,2.1,1.5,0.9,0.8
Tony Battie,82.6,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2,0.5,0
Olden Polynice,82.3,6.7,5.3,5.2,5.1,4.5,3.3,2.6,2.5,2,1.6,1.5,1.5
Ervin Johnson,81.8,6.4,5.2,5.1,4.9,3.9,3,2.3,2.3,1.9,1.3,0.8,0.7
