Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Shawn Bradley,,7.4,6.3,5.1,4.2,3.5,3,3,2.9,2.3,2.3,1.9,-1.1,NA,NA,NA,NA,NA
Brendan Haywood,85.4,6.8,6.7,5.2,5,3.9,3.8,3.4,3.1,2.9,2.7,0.2,0.1,0,NA,NA,NA,NA
Wayne Embry,84.7,6.7,6.3,5.6,4.5,3.4,3.4,2,1.9,1.5,1.2,1.1,NA,NA,NA,NA,NA,NA
Rich Kelley,84.7,8.6,6.4,4.8,4.3,4.3,4.3,2.5,2.4,2.4,1.7,0.7,NA,NA,NA,NA,NA,NA
Leroy Ellis,84.5,6.4,5.8,4.7,4.3,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6,0.9,NA,NA,NA
Rasho Nesterović,84.1,7.2,5.2,4.2,4.1,4.1,3.9,3.7,3,2.2,1.5,0.8,0,NA,NA,NA,NA,NA
Chris Andersen,83.7,6,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.3,1.1,0.3,0.2,0,NA,NA
Mark West,83.7,8.2,6.5,5.5,3.9,3.4,3.1,2.4,1.9,1.8,1.6,1.1,0.9,0.8,0.7,0.2,0,-0.1
Channing Frye,83.5,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3,2.1,1.5,0.9,0.8,0.1,NA,NA,NA,NA
Ervin Johnson,81.8,6.4,5.2,5.1,4.9,3.9,3,2.3,2.3,1.9,1.3,0.8,0.7,0,NA,NA,NA,NA
Tony Battie,81.5,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2,0.6,0.5,0.5,0,NA,NA,NA
