Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Salah Mejri,,3,2.7,1.3,1.1
Wayne Cooper,93.7,2.9,2.8,1.5,1.2
Joe Kleine,91.8,3.1,2.6,1,0.9
Tarik Black,88.0,3.1,2.4,1.5,0.7
Gene Wiley,87.3,2.8,2.4,1.8,1.3
Victor Alexander,86.8,3,2.5,2.3,1.1
Robin Lopez,86.8,3.2,2.1,1.5,1.1
Francisco Elson,86.6,3.1,2.9,1.8,1.6
Željko Rebrača,84.7,3.3,2.4,1.3,0.5
Travis Knight,84.4,3.3,3,1.1,0.6
Bob Hopkins,84.0,3.5,2.7,1.9,1.4
