Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Salah Mejri,,3,2.7,1.3,1.1,NA,NA,NA
Tarik Black,88.0,3.1,2.4,1.5,0.7,NA,NA,NA
Gene Wiley,86.6,2.8,2.4,1.8,1.3,-0.1,NA,NA
Victor Alexander,85.3,3,2.5,2.3,1.1,-0.1,NA,NA
Bob Hopkins,84.0,3.5,2.7,1.9,1.4,NA,NA,NA
Boban Marjanović,82.4,3.4,3,1.7,1.5,NA,NA,NA
Željko Rebrača,81.7,3.3,2.4,1.3,0.7,0.5,NA,NA
Alexis Ajinça,80.4,3.2,2.1,1,1,0.4,0,-0.1
Reggie Harding,79.8,3.1,2.6,1.6,0,NA,NA,NA
Jake Tsakalidis,79.6,2.8,2.8,1.3,1.2,0.9,0.6,0.3
Travis Knight,78.1,3.3,3,1.1,0.6,0.2,-0.1,-0.3
