Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Acie Law,,0.7,0.6,0.4,-0.1
Yakhouba Diawara,90.8,0.7,0.5,0.5,-0.1
Pearl Washington,82.3,0.7,0.7,0.5,NA
Mike Wilks,81.4,0.7,0.6,0.5,-0.3
Sebastian Telfair,79.5,0.7,0.6,0.5,-0.4
JaKarr Sampson,77.2,0.8,0.6,0.5,0.1
Royal Ivey,75.9,0.7,0.5,0.3,0.2
Shawn Respert,72.3,0.8,0.7,0.5,0.1
Tracy Moore,70.0,0.6,0.5,0.3,0.1
Rodney Buford,68.4,0.8,0.8,0.6,-0.2
Chris Corchiani,68.2,0.9,0.4,0.3,NA
