Season,Team,Lg,Salary
1998-99,Los Angeles Lakers,NBA,"$287,500"
1999-00,Los Angeles Lakers,NBA,"$809,280"
2000-01,Los Angeles Lakers,NBA,"$865,800"
2001-02,Washington Wizards,NBA,"$1,700,000"
2002-03,Washington Wizards,NBA,"$1,870,000"
2003-04,Orlando Magic,NBA,"$1,500,000"
2004-05,Houston Rockets,NBA,"$1,600,000"
2005-06,Atlanta Hawks,NBA,"$3,500,000"
2006-07,Atlanta Hawks,NBA,"$3,500,000"
2007-08,Sacramento Kings,NBA,"$3,500,000"
2008-09,Orlando Magic,NBA,"$2,250,000"
Career,(may be incomplete),,"$21,382,580"
