Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Glenn Hansen,,0.8,0.4,-0.1
Raymond Townsend,95.6,0.8,0.4,-0.2
Andre McCarter,80.2,0.8,0.3,0
Sergey Karasev,79.5,0.7,0.3,-0.1
Greg Sutton,72.6,0.8,0.2,-0.1
Charlie Davis,68.6,0.8,0.7,-0.1
Phil Pressey,68.2,0.8,0.1,-0.1
Sundiata Gaines,67.6,1,0.5,-0.1
Markel Brown,67.4,0.6,0.5,0
Eddie Hughes,66.3,1,0.4,0
Stan Pietkiewicz,64.6,1,0.6,0
