Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Steven Kramer,,1.9,1.2,1.1,NA,NA
Dirk Minniefield,96.9,1.9,1.1,1.1,NA,NA
Corky Devlin,89.6,1.8,1.2,0.8,NA,NA
Justin Anderson,89.2,1.9,1.2,1.1,0.4,NA
Mo Layton,86.9,1.9,1.1,1,0.3,0.1
Courtney Alexander,84.8,2.2,1.1,0.8,NA,NA
Kenny Higgs,84.5,2.2,1.5,1,NA,NA
Johnny High,83.7,2.5,1.2,1.1,-0.1,NA
Kirk Snyder,83.2,2.2,1.4,1.1,-0.2,NA
Donnie Butcher,81.7,1.9,1.2,1.1,0.5,-0.3
Shane Larkin,81.5,1.7,1.4,1.4,-0.1,NA
