Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,23,ANA,ABA,SG,50,1140,13.3,0.497,0.01,0.332,NA,NA,6.6,11.4,14.4,21.1,NA,1.6,0.3,1.9,0.082
1968-69,24,HSM,ABA,SG,23,701,13.3,0.483,0.004,0.416,NA,NA,5.1,23.4,17.2,20.7,NA,0.4,0.7,1.1,0.077
1969-70,25,CAR,ABA,SG,51,447,9.4,0.556,0.019,0.804,NA,NA,5.4,11.7,22.5,15.9,NA,0.8,0.4,1.2,0.127
Career,NA,,ABA,,124,2288,12.5,0.501,0.009,0.416,NA,NA,5.9,15.1,16.5,19.9,NA,2.8,1.4,4.3,0.089
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,"HSM,CAR",ABA,,74,1148,11.8,0.505,0.008,0.523,NA,NA,5.2,18.8,18.9,18.8,NA,1.2,1.1,2.3,0.096
1 season,NA,ANA,ABA,,50,1140,13.3,0.497,0.01,0.332,NA,NA,6.6,11.4,14.4,21.1,NA,1.6,0.3,1.9,0.082
