Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ken Durrett,,0.5,0.1,0,0
Josh Huestis,88.9,0.5,0.2,0,NA
Anthony Frederick,88.8,0.5,0.2,0,NA
Jarnell Stokes,82.1,0.5,0.1,0.1,NA
Pape Sow,75.4,0.6,0.2,0.1,NA
Okaro White,66.4,0.6,0.2,0,NA
Bob Bigelow,64.6,0.4,0,0,0
Gene James,64.6,0.5,0.3,0.1,NA
Josh Davis,62.0,0.5,0.3,0,0
Scooter McCray,60.9,0.3,0.1,0,NA
Alex Poythress,53.7,0.5,0.3,0.1,NA
