,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1971-72,23,CIN,NBA,,6,,5,6,,,,,,,,13
1972-73,24,KCO,NBA,,3,,6,7,,,,,,,,12
1973-74,25,KCO,NBA,,10,,4,6,,,,,,,,24
1974-75,26,TOT,NBA,,4,,4,7,,,,,,,,9
1974-75,26,KCO,NBA,,4,,4,7,,,,,,,,9
1974-75,26,PHI,NBA,,4,,2,6,,,,,,,,9
Career,,,,,10,,6,7,,,,,,,,24
4 Seasons,,"CIN,KCO",NBA,,10,,6,7,,,,,,,,24
1 Season,,PHI,NBA,,4,,2,6,,,,,,,,9
