Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1971-72,23,CIN,NBA,SF,19,233,8.1,0.454,0.354,NA,NA,8.3,8.1,NA,NA,NA,-0.1,0.1,0,0.002,NA,NA,NA,NA,NA
1972-73,24,KCO,NBA,SF,8,65,7.4,0.449,0.381,NA,NA,11.2,5.8,NA,NA,NA,0,0,0,-0.008,NA,NA,NA,NA,NA
1973-74,25,KCO,NBA,SF,45,462,13,0.519,0.392,6.3,11.3,8.8,6.2,1.3,0.6,NA,0.3,0.2,0.5,0.052,NA,-1.9,-1.4,-3.2,-0.1
1974-75,26,TOT,NBA,SF,48,445,10.1,0.437,0.313,8,15.5,11.7,6,0.9,1,NA,-0.3,0.4,0.1,0.013,NA,-3.9,-0.8,-4.7,-0.3
1974-75,26,KCO,NBA,SF,21,175,11.2,0.432,0.256,8.3,15.4,11.9,7.1,1.3,1.2,NA,-0.2,0.2,0,0.01,NA,-3.8,-0.8,-4.5,-0.1
1974-75,26,PHI,NBA,SF,27,270,9.4,0.441,0.364,7.8,15.5,11.6,5.2,0.7,0.8,NA,-0.1,0.2,0.1,0.015,NA,-3.9,-0.8,-4.8,-0.2
Career,NA,,NBA,,120,1205,10.7,0.474,0.355,7.2,13.4,9.9,6.4,1.1,0.8,NA,-0.1,0.7,0.6,0.025,NA,-2.8,-1.1,-3.9,-0.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"CIN,KCO",NBA,,93,935,11.1,0.482,0.353,6.9,12.5,9.4,6.8,1.3,0.7,NA,0,0.5,0.5,0.028,NA,-2.4,-1.2,-3.6,-0.3
1 season,NA,PHI,NBA,,27,270,9.4,0.441,0.364,7.8,15.5,11.6,5.2,0.7,0.8,NA,-0.1,0.2,0.1,0.015,NA,-3.9,-0.8,-4.8,-0.2
