Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,25,KCO,NBA,SF,45,NA,462,8.4,17.2,0.489,4.1,6.8,0.609,2.7,4.9,7.6,1.9,1.3,0.5,6.7,21,NA,NA,102
1974-75,26,TOT,NBA,SF,48,NA,445,7,17.2,0.404,3.2,5.4,0.596,3.6,7,10.6,1.9,0.9,0.8,7.5,17.1,NA,NA,99
1974-75,26,KCO,NBA,SF,21,NA,175,8.4,20.5,0.41,2.9,5.3,0.55,3.7,6.8,10.5,2.1,1.3,1.1,7.9,19.7,NA,NA,97
1974-75,26,PHI,NBA,SF,27,NA,270,6,15.1,0.398,3.4,5.5,0.625,3.6,7,10.7,1.7,0.7,0.7,7.2,15.5,NA,NA,99
Career,NA,,NBA,,93,NA,907,7.7,17.2,0.434,3.7,6.1,0.637,3.2,5.9,9.1,1.9,1.1,0.7,7.1,19.1,NA,NA,100
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,"CIN,KCO",NBA,,66,NA,637,8.4,18.1,0.444,3.8,6.3,0.64,3,5.4,8.4,1.9,1.3,0.6,7,20.6,NA,NA,100
1 season,NA,PHI,NBA,,27,NA,270,6,15.1,0.398,3.4,5.5,0.625,3.6,7,10.7,1.7,0.7,0.7,7.2,15.5,NA,NA,99
