Season,Team,Lg,Salary
2016-17,Indiana Pacers,NBA,"$650,000"
2017-18,Indiana Pacers,NBA,"$100,000"
2017-18,Utah Jazz,NBA,< $Minimum
2018-19,Utah Jazz,NBA,"$1,512,601"
Career,(may be incomplete),,"$2,262,601"
