Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
George Karl,,3.4,3.3,1.3,0,-0.2
Mike Dunleavy,89.3,3.4,3,1.4,0.2,0.1
Terry Furlow,88.0,3.3,2.8,1.1,0,NA
Curly Armstrong,86.2,3.5,3.1,0.6,NA,NA
Marco Belinelli,86.0,3.4,2.9,1.2,0.5,0
Chris Whitney,85.6,3.2,2.7,1.3,-0.2,-0.3
Bob Weiss,85.3,3.6,2.9,1.7,0.1,0
Mervin Jackson,84.9,3.1,3.1,1.8,-0.2,-0.2
Tyus Jones,84.8,3.6,3,1.5,0.3,NA
Shannon Brown,84.7,3.4,3.1,0.7,0.1,-0.5
Shammond Williams,84.0,3.1,2.9,1.2,0.2,0
