Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
George Karl,,3.4,3.3,1.3,0,-0.2,NA
Terry Furlow,88.0,3.3,2.8,1.1,0,NA,NA
Curly Armstrong,86.2,3.5,3.1,0.6,NA,NA,NA
Mervin Jackson,84.9,3.1,3.1,1.8,-0.2,-0.2,NA
Tyus Jones,84.8,3.6,3,1.5,0.3,NA,NA
Kelenna Azubuike,80.4,4.1,3.4,1.2,0.7,-0.1,NA
Ron Sobie,80.1,3.6,2.6,0.9,0.1,NA,NA
Billy Ray Bates,79.2,3.6,2.4,0.9,0,NA,NA
Mike Butler,75.7,3.1,2.3,1.6,0.1,NA,NA
Louie Nelson,74.4,2.9,2.3,1.1,0,0,NA
Khalid Reeves,73.8,3.5,2.5,1.2,1.1,0.1,0
