Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
John Wallace,,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA,NA,NA
Anthony Randolph,82.5,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA,NA,NA,NA
Michael Ruffin,82.0,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0,NA,NA
Brian Scalabrine,81.2,1.7,1.4,1.1,1,0.9,0.6,0.3,0.3,0.2,0.1,-0.1
Marc Iavaroni,80.1,1.7,1.5,1.4,1.1,1,0.7,0.6,NA,NA,NA,NA
Darvin Ham,79.9,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4,NA,NA,NA
Major Jones,78.8,1.3,1.3,1.2,0.9,0.7,0.1,NA,NA,NA,NA,NA
Larry Staverman,78.2,1.6,1.6,1.4,1.2,1.1,NA,NA,NA,NA,NA,NA
Luke Babbitt,77.5,1.8,1.6,1.1,0.9,0.7,0.7,0.7,-0.4,NA,NA,NA
Rafael Addison,75.4,1.5,1.5,0.9,0.4,0.4,0.2,NA,NA,NA,NA,NA
Charles Davis,75.2,2.1,1.5,1,0.9,0.5,0.3,-0.2,-0.3,NA,NA,NA
