Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
John Wallace,,1.6,1.5,1,1,0.7,0.3,0.3
Brian Scalabrine,87.3,1.7,1.4,1,0.9,0.6,0.3,-0.1
Anthony Randolph,82.5,1.6,1.5,1.1,0.6,0.5,0.5,NA
Scott Hastings,80.7,2.1,1.5,1.3,1,0.8,0.4,0.1
Marc Iavaroni,80.1,1.7,1.5,1.4,1.1,1,0.7,0.6
Major Jones,78.8,1.3,1.3,1.2,0.9,0.7,0.1,NA
Larry Staverman,78.2,1.6,1.6,1.4,1.2,1.1,NA,NA
Charles Davis,77.1,2.1,1.5,1,0.9,0.5,0.3,-0.3
Joe Ellis,75.6,1.3,1.3,1.1,1,0.5,0.4,-0.3
Rafael Addison,75.4,1.5,1.5,0.9,0.4,0.4,0.2,NA
Darvin Ham,75.3,1.7,1.2,0.9,0.9,0.9,0.1,-0.4
