Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Bob Bedell,,2.4,2.2,0.8,0.1,NA,NA,NA
Dave Sorenson,89.4,2.6,2.1,0.7,NA,NA,NA,NA
Stan Love,85.2,2.2,2.1,0.7,0.6,NA,NA,NA
Al Eberhard,83.9,2.6,1.8,0.9,0,NA,NA,NA
Carey Scurry,82.9,2.6,1.8,0.9,NA,NA,NA,NA
Cheick Diallo,81.9,2.6,1.9,0.5,NA,NA,NA,NA
Donnell Harvey,81.2,2,1.8,0.7,0.2,0.1,NA,NA
Tom Tolbert,81.0,2.7,2.5,1.3,0.1,0,0,0
Chuck Terry,80.9,2.3,2.1,1.2,0.7,0.1,NA,NA
Alaa Abdelnaby,80.8,2.1,2,0.5,0.3,-0.1,NA,NA
Sam Pellom,80.5,2.2,1.8,0.7,0,NA,NA,NA
