Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bob Bedell,,2.4,2.2,0.8,0.1
Dave Sorenson,89.4,2.6,2.1,0.7,NA
Chuck Terry,87.7,2.3,2.1,1.2,0.1
Stan Love,85.2,2.2,2.1,0.7,0.6
David Wood,84.6,2.8,2.3,1,0
Al Eberhard,83.9,2.6,1.8,0.9,0
Derek Strong,83.2,2.4,2.1,1.5,0
Carey Scurry,82.9,2.6,1.8,0.9,NA
Cheick Diallo,81.9,2.6,1.9,0.5,NA
Bruce Seals,81.9,2.9,2.4,0.6,0.3
Dorie Murrey,81.0,2.2,1.9,0.5,0.2
