Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Ernie Grunfeld,,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,NA,NA,NA,NA,NA
Mike Glenn,90.5,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5,0.1,NA,NA,NA,NA
Bill Hanzlik,89.5,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1,0.7,NA,NA,NA,NA
Rex Chapman,87.6,4.5,4.2,3.9,3.3,3,2.5,1.9,1.4,0.9,0.1,-0.2,-0.7,NA,NA
Darrell Griffith,86.9,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4,0,NA,NA,NA,NA
Henry Bibby,86.4,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1,1,NA,NA,NA,NA,NA
Rodney Stuckey,86.2,5,4.5,4,3.8,2.7,2.5,2.2,2,2,-0.1,NA,NA,NA,NA
Scott Brooks,86.0,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,1,0.7,NA,NA,NA,NA
Tom Henderson,85.4,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4,NA,NA,NA,NA,NA
Shaun Livingston,85.4,4.6,4.4,3.3,2.6,2.6,2.4,2,1.9,1.8,1.3,1.3,1.2,0.4,0.1
Randy Foye,85.2,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1,0.4,0.2,NA,NA,NA
