Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Ernie Grunfeld,,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4
Mike Glenn,90.6,4.4,3.9,2.9,2.9,2.8,2.8,2.1,1.9,1.5
Tony Allen,88.0,5.1,4.7,4.2,2.7,2.7,1.9,1.9,1.7,1.6
Darrell Griffith,87.1,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4
Scott Brooks,86.9,4.6,3.3,2.9,2.7,2.6,2.1,1.9,1.6,0.7
Randy Foye,86.6,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1
Henry Bibby,86.4,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1,1
Rodney Stuckey,86.4,5,4.5,4,3.8,2.7,2.5,2.2,2,2
Eric Gordon,86.1,5.3,4.6,3.8,3.2,2.9,2.5,2.1,1.1,0.7
Tom Henderson,85.4,4.7,4.5,3.1,2.4,2.1,2.1,1.5,1.3,0.4
Eric Piatkowski,85.0,5.5,4.5,3.9,3.6,2.3,2.3,2.3,2,1.2
