Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Terry Catledge,,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1,NA,NA,NA
Stromile Swift,90.7,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1,-0.1,NA,NA
Dave Stallworth,89.2,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0,NA,NA,NA
Len Chappell,89.1,4.7,3.7,3.6,3.2,2.9,2.1,0.9,0.5,0.1,0.1,NA
Andray Blatche,88.8,4.9,3.7,3.4,3,2.4,1.4,0.5,0.1,-0.1,NA,NA
Michael Smith,87.4,5.4,3.7,3.6,3.3,3.1,2.3,2.1,NA,NA,NA,NA
Danny Fortson,86.4,4.5,4.4,4.3,3.5,2.3,1.9,1.1,0.2,0.2,0,NA
Tyler Hansbrough,86.2,4.4,3.9,3.8,3.4,3,1,0.7,NA,NA,NA,NA
Jan van Breda Kolff,86.0,4.5,3.9,3.8,3.6,3.4,1.2,1.1,0.6,0.1,NA,NA
Gary Trent,85.9,5.5,4,3.3,3.1,3,2.3,1.7,0.4,0.1,NA,NA
Charlie Villanueva,85.7,4.9,3.9,3.5,3.1,1.7,1.7,1.6,1.4,0.4,0.2,0.1
