Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Terry Catledge,,4.6,3.6,3.5,3.3,2.5,1.7,1.6,0.1
Stromile Swift,91.1,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1
Charlie Villanueva,91.0,4.9,3.9,3.5,3.1,1.7,1.7,1.6,0.4
Jonas Jerebko,90.0,4.4,3.5,3.4,3.3,2.4,2.1,2,1.4
Pat Cummings,89.3,4.2,4,3.3,2.7,2.5,1.8,1.5,0.6
Vladimir Radmanović,89.3,4.2,3.8,3.7,3.5,2.7,2.1,1.9,0.8
Dave Stallworth,89.2,3.9,3.8,3.7,3.4,2.8,1.7,1.1,0
Allan Bristow,88.6,4.4,4.3,3.5,2.8,2.7,1.9,1.9,0.5
Al-Farouq Aminu,88.2,4.2,4,3.3,3.1,3.1,1.9,1.4,0.7
Ron Anderson,87.5,4.4,4.1,3.8,3.5,3.1,2.5,1.5,0.3
Michael Smith,87.4,5.4,3.7,3.6,3.3,3.1,2.3,2.1,NA
