,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1989-90,19,UNC,32,102,10,19,,,9,14,,20,2,,,,,29,.526,,.643,3.2,0.9,0.6,0.1
1990-91,20,UNC,24,59,5,15,,,7,12,,21,0,,,,,17,.333,,.583,2.5,0.7,0.9,0.0
1991-92,21,UNC,30,152,29,52,,,6,12,,40,12,,,,,64,.558,,.500,5.1,2.1,1.3,0.4
1992-93,22,UNC,33,166,34,61,0,1,16,27,,47,7,,,,,84,.557,.000,.593,5.0,2.5,1.4,0.2
Career,,,119,479,78,147,0,1,38,65,,128,21,,,,,194,.531,.000,.585,4.0,1.6,1.1,0.2
