Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,26,STB,BAA,NA,3,NA,NA,10,45,0.222,11,15,0.733,NA,3,7,31
1947-48,27,STB,BAA,NA,5,NA,NA,17,55,0.309,22,28,0.786,NA,8,19,56
1948-49,28,STB,BAA,NA,2,NA,NA,7,23,0.304,6,9,0.667,NA,8,10,20
Career,NA,,BAA,NA,10,NA,NA,34,123,0.276,39,52,0.75,NA,19,36,107
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,STB,BAA,NA,10,NA,NA,34,123,0.276,39,52,0.75,NA,19,36,107
