Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
John Logan,,9.2,8.3,5.2,4.3,1,NA,NA,NA,NA,NA
Micheal Williams,88.1,9,7.6,5.7,5.6,0.7,0.3,0,-0.1,-0.1,-0.2
Darel Carrier,86.1,8.7,8,7.8,4.9,0.9,0.2,NA,NA,NA,NA
Glen Combs,78.1,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA,NA
CJ McCollum,77.0,7.6,6.6,6,5.6,1.8,0.2,NA,NA,NA,NA
Josh Childress,76.7,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0,NA,NA
Al Cervi,76.1,9.3,5.3,5.3,2.1,NA,NA,NA,NA,NA,NA
Dražen Petrović,75.6,8.4,7.7,2.8,2.5,NA,NA,NA,NA,NA,NA
Frankie Brian,74.1,9.2,6.1,5.6,3.6,3,2.7,-0.2,NA,NA,NA
Andrew Toney,73.5,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA,NA
Stu Lantz,73.2,10.5,7.4,4.7,3.4,2.4,1.7,1.4,1,NA,NA
