Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
David Benoit,,4.6,3.9,2.3,2,1.6,1.6,0.7
Glen Davis,94.3,4.9,3.7,2.5,2,1.7,1.6,0.8
Kyle O'Quinn,93.1,4.8,3.9,2.5,1.6,1.6,1.4,1
Derek Strong,90.9,4.4,4.1,2.4,2.1,1.9,1.5,0
Jeff Cook,90.5,4.5,3.7,2.4,2.3,2.2,2,0.6
Andrea Bargnani,88.7,4.2,3.9,2.5,2.2,1.9,1.4,0.1
John Brown,88.0,4.2,3.7,2.6,2.3,1.7,1.7,0.1
Danny Vranes,87.4,4.2,3.4,2.4,2.1,1.8,0.8,0.6
George Lynch,87.1,5.8,3.9,2.6,2.5,1.7,1.5,0.9
Mike O'Koren,86.5,4.1,3.8,2,1.9,1.5,1.2,-0.1
Donald Royal,86.0,5.1,3.8,3.6,2.3,1.6,1.3,1
