Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
David Benoit,,4.6,3.9,2.3,2,1.6,1.6,0.7,NA,NA,NA
Kyle O'Quinn,93.1,4.8,3.9,2.5,1.6,1.6,1.4,1,NA,NA,NA
Jeff Cook,90.0,4.5,3.7,2.4,2.3,2.2,2,0.6,0.1,NA,NA
Derek Strong,90.0,4.4,4.1,2.4,2.1,1.9,1.6,1.5,0.3,0.2,0
Glen Davis,88.7,4.9,3.7,2.5,2,1.7,1.6,1.4,0.8,NA,NA
John Brown,88.0,4.2,3.7,2.6,2.3,1.7,1.7,0.1,NA,NA,NA
Danny Vranes,87.4,4.2,3.4,2.4,2.1,1.8,0.8,0.6,NA,NA,NA
Mike O'Koren,87.0,4.1,3.8,2,1.9,1.5,1.2,0.1,-0.1,NA,NA
Howard Porter,85.3,4.1,3.9,2.7,2.4,2.4,1.1,1,NA,NA,NA
Kenny Walker,85.1,4.7,4,3.1,2.7,1.9,1.3,0.1,NA,NA,NA
Andrea Bargnani,84.6,4.2,3.9,2.5,2.2,1.9,1.5,1.4,0.9,0.2,0.1
